SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,BIRTHS2020,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,DEATHS2020,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,NATURALINC2020,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,INTERNATIONALMIG2020,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,DOMESTICMIG2020,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,NETMIG2020,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RESIDUAL2020,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RBIRTH2020,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RDEATH2020,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RNATURALINC2020,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RINTERNATIONALMIG2020,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RDOMESTICMIG2020,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019,RNETMIG2020
010,0,0,00,United States,308745538,308758105,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123,569038,2256338,2294181,2182285,2326382,2352665,2332761,2050373,1716071,1491754,1154170,987836,3973485,3936976,3940576,3963195,3992376,3970959,3890144,3835477,3770397,3748000,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2839277,2847282,3070859,389145,1461043,1435445,1332557,1380747,1292550,1267744,1101981,996200,923115,677141,179893,795295,858736,849728,945635,1060115,1065017,948392,719871,568639,477029,0,0,0,0,0,0,0,0,0,0,0,179893,795295,858736,849728,945635,1060115,1065017,948392,719871,568639,477029,0,0,0,0,0,0,0,0,0,0,0,12.798895192,12.589034648,12.511004086,12.493398259,12.493249309,12.335795903,12.003025953,11.76598281,11.509707816,11.395317117,8.0927653768,7.9989973094,8.2802454171,8.1407933112,8.4485026734,8.3975454097,8.6028673615,8.7099686359,8.6917594859,9.3365560636,4.7061298149,4.5900373383,4.2307586687,4.3526049478,4.0447466357,3.9382504935,3.4001585911,3.0560141737,2.8179483303,2.0587610533,2.5617052415,2.7459291744,2.6978163801,2.9809773838,3.3173931993,3.3084784672,2.9262602591,2.2083276242,1.7358566599,1.4503459789,0,0,0,0,0,0,0,0,0,0,2.5617052415,2.7459291744,2.6978163801,2.9809773838,3.3173931993,3.3084784672,2.9262602591,2.2083276242,1.7358566599,1.4503459789
020,1,0,00,Northeast Region,55317240,55318414,55380764,55608318,55782661,55912775,56021339,56052790,56063777,56083383,56084543,56002934,55849869,62350,227554,174343,130114,108564,31451,10987,19606,1160,-81609,-153065,163442,646239,637873,635759,632459,634489,628369,617613,614504,602339,596481,110881,470823,460924,479975,470295,489218,480500,497835,500118,506780,544339,52561,175416,176949,155784,162164,145271,147869,119778,114386,95559,52142,45932,207972,208615,194958,223151,227682,237250,217718,183354,127612,109665,-32967,-155177,-207339,-217649,-273783,-340428,-373819,-317167,-295991,-304750,-315166,12965,52795,1276,-22691,-50632,-112746,-136569,-99449,-112637,-177138,-205501,-3176,-657,-3882,-2979,-2968,-1074,-313,-723,-589,-30,294,11.645091361,11.452866394,11.383795485,11.30055847,11.322666625,11.209208716,11.014331527,10.956857667,10.74765917,10.665463609,8.4841317996,8.275786857,8.594352951,8.403068255,8.7302574531,8.571436191,8.8782453341,8.9173085005,9.0425801983,9.7331311402,3.1609595618,3.1770795371,2.7894425337,2.8974902146,2.5924091723,2.6377725247,2.1360861925,2.0395491667,1.7050789715,0.9323324691,3.7476118597,3.7456354522,3.4908856974,3.9871848184,4.0630607979,4.2322023649,3.8827198121,3.2692768163,2.27700727,1.9608806764,-2.796257023,-3.722725159,-3.89718699,-4.891859867,-6.075050559,-6.668398971,-5.656264501,-5.277640598,-5.437717186,-5.635370622,0.9513548369,0.0229102933,-0.406301292,-0.904675048,-2.011989761,-2.436196606,-1.773544689,-2.008363781,-3.160709916,-3.674489946
020,2,0,00,Midwest Region,66927001,66929737,66975328,67164092,67348275,67576524,67765576,67885682,68018175,68160342,68263019,68340091,68316744,45591,188764,184183,228249,189052,120106,132493,142167,102677,77072,-23347,212599,834852,830699,830845,836493,838071,832757,816921,807621,791161,784823,140865,586658,584692,605159,596873,626080,619207,640351,649554,632063,671590,71734,248194,246007,225686,239620,211991,213550,176570,158067,159098,113233,25805,120105,123734,129350,136737,145029,147575,129389,99658,84709,70234,-50899,-179384,-183963,-125141,-183942,-234593,-227495,-162566,-154266,-167058,-207685,-25094,-59279,-60229,4209,-47205,-89564,-79920,-33177,-54608,-82349,-137451,-1049,-151,-1595,-1646,-3363,-2321,-1137,-1226,-782,323,871,12.447526611,12.351265813,12.315675193,12.361164782,12.356258429,12.255090008,11.997795511,11.839922343,11.583352678,11.486040929,8.7469887674,8.6935054827,8.9703153829,8.8202118927,9.2307289918,9.1124271771,9.4045817814,9.522621276,9.2540060032,9.8288534196,3.7005378434,3.6577603307,3.3453598104,3.540952889,3.1255294367,3.1426628311,2.5932137299,2.3173010669,2.3293466745,1.6571875091,1.7907487598,1.8397416202,1.9173643535,2.0206129504,2.1382625143,2.1717558759,1.9002850501,1.4610107722,1.2402206655,1.0278885794,-2.674590363,-2.735257792,-1.854974044,-2.718178601,-3.458766302,-3.347881437,-2.387542523,-2.261577473,-2.445888677,-3.039511342,-0.883841603,-0.895516172,0.0623903097,-0.69756565,-1.320503788,-1.176125561,-0.487257472,-0.800566701,-1.205668012,-2.011622763
020,3,0,00,South Region,114555744,114563042,114869421,116019483,117264196,118397213,119666248,121049223,122419547,123611036,124649156,125686544,126662754,306379,1150062,1244713,1133017,1269035,1382975,1370324,1191489,1038120,1037388,976210,368739,1509643,1505006,1504774,1525284,1545672,1548340,1511014,1502640,1479176,1473609,228461,963068,960777,1011227,1006153,1052270,1058139,1092576,1122210,1127041,1220309,140278,546575,544229,493547,519131,493402,490201,418438,380430,352135,253300,70282,290140,348120,333217,368573,431749,437854,404211,307884,263883,221183,91071,312264,344084,299940,373734,453592,441153,367414,348982,421992,503502,161353,602404,692204,633157,742307,885341,879007,771625,656866,685875,724685,4748,1083,8280,6313,7597,4232,1116,1426,824,-622,-1775,13.076791252,12.902797199,12.770644174,12.814095818,12.842315399,12.719002934,12.283139613,12.105364037,11.817539408,11.679121057,8.3422631691,8.2369842941,8.5820330473,8.4528133446,8.7428530923,8.6921948963,8.8816275333,9.0405956022,9.0042371104,9.6715862471,4.7345280828,4.665812905,4.1886111272,4.3612824733,4.0994623067,4.0268080378,3.4015120795,3.0647684346,2.8133022977,2.0075348099,2.5132433389,2.9845208331,2.8279301343,3.0964264608,3.5872143839,3.5967980616,3.2858597909,2.4803332143,2.1082330646,1.7529908088,2.7048852898,2.949919184,2.5455164787,3.1397846476,3.7686983567,3.6238980466,2.9867343768,2.8114213333,3.3714088722,3.9905163517,5.2181286286,5.9344400171,5.373446613,6.2362111084,7.3559127406,7.2206961082,6.2725941677,5.2917545476,5.4796419368,5.7435071605
020,4,0,00,West Region,71945553,71946912,72101630,72791588,73482530,74173435,74933166,75751299,76570256,77267367,77841481,78300384,78654756,154718,689958,690942,690905,759731,818133,818957,697111,574114,458903,354372,243056,982751,963398,969198,968959,974144,961493,944596,910712,897721,893087,118484,491893,495138,511658,509127,532258,545369,557401,567395,581398,634621,124572,490858,468260,457540,459832,441886,416124,387195,343317,316323,258466,37874,177078,178267,192203,217174,255655,242338,197074,128975,92435,75947,-7205,22297,47218,42850,83991,121429,160161,112319,101275,49816,19349,30669,199375,225485,235053,301165,377084,402499,309393,230250,142251,95296,-523,-275,-2803,-1688,-1266,-837,334,523,547,329,610,13.565175977,13.172501235,13.127786609,12.99686256,12.929587665,12.624516602,12.280428956,11.742876203,11.498786696,11.380156139,6.7897311798,6.7700015118,6.9304074509,6.8290336791,7.0645371439,7.1607593554,7.2466148284,7.316088119,7.447048234,8.0866545689,6.7754447969,6.4024997232,6.1973791577,6.167828881,5.8650505213,5.463757247,5.0338141275,4.4267880837,4.0517384623,3.2935015699,2.4442551894,2.4374373599,2.6033895752,2.9130031607,3.3932495961,3.1819265501,2.56210407,1.6630256966,1.1839873951,0.9677542258,0.307771479,0.6456097722,0.5804032367,1.1265899623,1.6116989897,2.1029328384,1.4602279704,1.3058571617,0.6380863966,0.2465545251,2.7520266684,3.0830471321,3.1837928119,4.039593123,5.0049485858,5.2848593884,4.0223320403,2.9688828583,1.8220737917,1.2143087509
040,3,6,01,Alabama,4779736,4780118,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5396,14128,16990,14954,12151,11066,12021,11165,13639,16337,13567,14202,59699,59074,57943,58914,59653,59695,58644,58665,57251,56739,11077,48837,48363,50853,49720,51878,51711,53196,54560,54038,58354,3125,10862,10711,7090,9194,7775,7984,5448,4105,3213,-1615,1053,5162,6282,5494,4159,5095,6301,3546,3940,2293,2078,1225,-1903,-114,2294,-996,-1553,-2148,2287,5664,10828,13115,2278,3259,6168,7788,3163,3542,4153,5833,9604,13121,15193,-7,7,111,76,-206,-251,-116,-116,-70,3,-11,12.456552611,12.286255571,12.011129931,12.178198082,12.301439186,12.280866155,12.035941582,12.009682672,11.68436281,11.544639568,10.190131491,10.058573622,10.541428479,10.277693055,10.698105076,10.638342738,10.917808274,11.169322196,11.028621291,11.873242344,2.2664211203,2.2276819483,1.4697014516,1.9005050271,1.6033341101,1.6425234171,1.1181333085,0.8403604768,0.6557415191,-0.328602776,1.0770821049,1.3065351507,1.1388631559,0.8597129005,1.0506736065,1.2962850766,0.72777179,0.8065822846,0.4679786191,0.4228090206,-0.397072306,-0.023709807,0.4755282271,-0.205884599,-0.320254389,-0.44190134,0.4693779142,1.1595132133,2.2098876964,2.6684987034,0.6800097985,1.2828253438,1.6143913829,0.6538283011,0.7304192177,0.8543837364,1.1971497042,1.9660954979,2.6778663155,3.0913077241
040,4,9,02,Alaska,710231,710246,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158,3736,8367,8461,6816,-551,1355,4145,-1592,-4359,-3021,-2445,2902,11712,11126,11349,11447,11347,11284,10757,10374,9860,9733,899,3922,3923,4038,4007,4337,4426,4429,4435,4748,5249,2003,7790,7203,7311,7440,7010,6858,6328,5939,5112,4484,480,1442,2482,2995,1343,2417,2442,2792,742,1232,1078,1163,-888,-1324,-3502,-9585,-8197,-5194,-10765,-11078,-9355,-7980,1643,554,1158,-507,-8242,-5780,-2752,-7973,-10336,-8123,-6902,90,23,100,12,251,125,39,53,38,-10,-27,16.308218649,15.312846013,15.457262012,15.524502933,15.380496847,15.238301019,14.501623799,14.041622705,13.412894743,13.289540068,5.4611367436,5.3992715181,5.4997289633,5.4343219405,5.8786652705,5.9770223598,5.9707810547,6.0029493634,6.458866556,7.1670395375,10.847081905,9.9135744953,9.9575330488,10.090180993,9.5018315763,9.2612786587,8.5308427443,8.0386733414,6.9540281875,6.1225005308,2.0078937237,3.4160060943,4.0791699468,1.8213861657,3.276166465,3.2977606423,3.7639242955,1.0043265902,1.6759316759,1.4719124827,-1.236483791,-1.822236933,-4.769700552,-12.99924527,-11.11077224,-7.014155928,-14.51240868,-14.99451478,-12.725926,-10.89597552,0.7714099327,1.5937691608,-0.690530605,-11.1778591,-7.834605779,-3.716395286,-10.74848439,-13.99018819,-11.04999432,-9.424063038
040,4,8,04,Arizona,6392017,6392292,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401,15050,66074,82928,78346,98183,99937,111957,103321,116140,127615,129558,20951,86097,85581,86097,86129,86755,84736,83156,81134,81294,81451,11506,48173,48748,50612,50241,52843,56023,56320,59212,61049,66385,9445,37924,36833,35485,35888,33912,28713,26836,21922,20245,15066,2723,17104,15673,18580,21867,20141,20694,13662,8180,11618,9272,3110,11042,29856,24017,39905,45608,62460,62648,85777,95805,105434,5833,28146,45529,42597,61772,65749,83154,76310,93957,107423,114706,-228,4,566,264,523,276,90,175,261,-53,-214,13.368312641,13.136235817,13.05386674,12.886268051,12.790362269,12.300566348,11.885494418,11.417421341,11.247039393,11.071793549,7.4798393076,7.4825629943,7.6736971491,7.5168525482,7.7906877228,8.1324894791,8.0498225702,8.3324913406,8.4461400335,9.0238427365,5.8884733336,5.6536728228,5.380169591,5.3694155023,4.9996745464,4.1680768687,3.8356718482,3.0849300001,2.8008993592,2.0479508122,2.6557443281,2.4057235129,2.8170649852,3.2716509359,2.9694044893,3.0040115181,1.9527108657,1.1511142871,1.6073523712,1.2603610733,1.7144953736,4.5827398202,3.641412796,5.9704225819,6.7240256167,9.0669063218,8.9542841686,12.070798313,13.25463883,14.331849591,4.3702397017,6.9884633332,6.4584777812,9.2420735178,9.693430106,12.07091784,10.906995034,13.2219126,14.861991201,15.592210664
040,3,7,05,Arkansas,2915918,2916029,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522,5969,19040,11838,7583,8300,10973,12083,12040,8306,8824,9537,9446,38430,38609,37986,38239,38794,38611,37694,37587,36604,36332,7024,29439,29715,30972,29970,31320,31140,32328,32797,31465,33832,2422,8991,8894,7014,8269,7474,7471,5366,4790,5139,2500,880,4010,4017,2627,3424,3620,3700,2503,1052,1668,1517,2460,5983,-1305,-2144,-3401,-94,943,4170,2449,2028,5550,3340,9993,2712,483,23,3526,4643,6673,3501,3696,7067,207,56,232,86,8,-27,-31,1,15,-11,-30,13.109249201,13.101310945,12.847572478,12.898496901,13.043307958,12.931657408,12.573740716,12.495644958,12.134299419,12.007587532,10.042237503,10.083282518,10.475307081,10.109258928,10.530401744,10.429458229,10.783782296,10.903228981,10.430710611,11.18134706,3.0670116984,3.0180284273,2.3722653968,2.7892379737,2.5129062144,2.5021991789,1.78995842,1.5924159776,1.7035888076,0.826240472,1.3678919932,1.3631009886,0.8885003133,1.1549583773,1.2171153995,1.2392098731,0.8349358787,0.3497331124,0.5529453456,0.5013627184,2.0409221434,-0.442829671,-0.72514072,-1.147200187,-0.031604654,0.3158310568,1.3910038411,0.8141600687,0.6722860677,1.8342538478,3.4088141366,0.9202713172,0.1633595932,0.00775819,1.1855107455,1.5550409299,2.2259397198,1.1638931811,1.2252314133,2.3356165663
040,4,9,06,California,37253956,37254522,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078,65028,316761,308240,309217,332938,317590,244890,188599,99678,147,-69532,123328,509748,497428,499632,498931,500368,489146,482694,462012,452438,448160,57317,238381,239541,247702,244044,253789,260115,265216,270180,277722,304961,66011,271367,257887,251930,254887,246579,229031,217478,191832,174716,143199,19063,96569,95561,113526,127975,153571,138763,109976,68369,33553,28803,-19639,-50732,-41300,-53388,-46407,-80121,-122220,-138211,-160192,-208407,-242313,-576,45837,54261,60138,81568,73450,16543,-28235,-91823,-174854,-213510,-407,-443,-3908,-2851,-3517,-2439,-684,-644,-331,285,779,13.601284628,13.162803039,13.113990087,12.986151022,12.914221963,12.533611249,12.299977789,11.729877385,11.472268305,11.373798297,6.3605699893,6.3386681142,6.5015082551,6.3519649814,6.5501540424,6.6650453852,6.7582172333,6.8595150599,7.0420727218,7.7395682403,7.2407146387,6.8241349245,6.6124818318,6.6341860411,6.3640679211,5.8685658636,5.5417605554,4.870362325,4.4301955828,3.6342300571,2.5766897668,2.528708921,2.9797507738,3.3309268759,3.9635827654,3.5555876931,2.802401433,1.7357990419,0.850788436,0.7309878444,-1.353649983,-1.09286925,-1.401290756,-1.207879066,-2.067878797,-3.131698852,-3.521883906,-4.067064314,-5.284483223,-6.149632245,1.2230397834,1.4358396706,1.5784600183,2.1230478094,1.8957039683,0.4238888407,-0.719482473,-2.331265273,-4.433694787,-5.4186444
040,4,8,08,Colorado,5029196,5029319,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5807719,18220,74361,71760,77114,81863,101691,89516,73577,79734,61331,49233,16787,65940,64738,64732,65706,66346,66592,65316,63793,63145,63285,7830,32010,32715,33583,33932,36243,36713,37693,38169,39290,42735,8957,33930,32023,31149,31774,30103,29879,27623,25624,23855,20550,2532,13093,11747,9510,10182,13926,10146,8839,11306,3576,3118,6067,27111,27240,35625,38973,56922,49212,36903,42580,33815,25498,8599,40204,38987,45135,49155,70848,59358,45742,53886,37391,28616,664,227,750,830,934,740,279,212,224,85,67,12.968266981,12.551524105,12.371811032,12.370038211,12.278377879,12.109648767,11.704049675,11.276251094,11.024263068,10.943088074,6.2953325154,6.3428451776,6.4185029023,6.3881553674,6.7073410527,6.6762003722,6.7542523182,6.746872353,6.8595026677,7.3896321222,6.6729344657,6.2086789278,5.9533081292,5.9818828435,5.5710368267,5.4334483949,4.9497973572,4.5293787412,4.1647604006,3.5534559521,2.5749699664,2.2775302553,1.8175851651,1.9168984425,2.5772268162,1.8450338838,1.5838706455,1.9984840793,0.6243212405,0.5391569664,5.331857539,5.2813419727,6.8087772353,7.3371914162,10.534317452,8.9491235453,6.6126913034,7.5265745707,5.903641708,4.4090520616,7.9068275054,7.558872228,8.6263624005,9.2540898587,13.111544268,10.794157429,8.1965619488,9.52505865,6.5279629486,4.9482090279
040,1,1,09,Connecticut,3574097,3574151,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557006,5022,9459,6579,581,-95,-7136,-8731,-4506,-763,-8539,-9016,9497,37637,36854,36134,36162,36324,35917,35501,34958,34596,34258,6848,29295,29064,29755,29669,30378,30111,31112,31141,31469,33477,2649,8342,7790,6379,6493,5946,5806,4389,3817,3127,781,2481,13189,16211,11331,18386,16726,14624,14779,18949,10290,9387,139,-12030,-17369,-17041,-25155,-29948,-29233,-23749,-23606,-22042,-19294,2620,1159,-1158,-5710,-6769,-13222,-14609,-8970,-4657,-11752,-9907,-247,-42,-53,-88,181,140,72,75,77,86,110,10.50168078,10.2602465,10.04978026,10.05688808,10.112109003,10.020937753,9.9231966216,9.7786188169,9.6899650911,9.6189429552,8.1740504938,8.0914908636,8.2756188532,8.2511424268,8.4568232377,8.4010484361,8.6963886452,8.7109093363,8.8141262415,9.399654192,2.3276302857,2.1687556368,1.774161407,1.805745653,1.6552857651,1.6198893169,1.2268079765,1.0677094806,0.8758388496,0.2192887631,3.6800666313,4.5131832642,3.1514379844,5.1132665294,4.6562915753,4.0801345797,4.1310082215,5.3005048333,2.8821176086,2.6356768498,-3.356676137,-4.835573383,-4.739533553,-6.995769583,-8.337117069,-8.15608412,-6.638291782,-6.603183128,-6.173725591,-5.417359022,0.323390494,-0.322390119,-1.588095569,-1.882503053,-3.680825494,-4.07594954,-2.507283561,-1.302678295,-3.291607982,-2.781682172
