SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,BIRTHS2020,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,DEATHS2020,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,NATURALINC2020,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,INTERNATIONALMIG2020,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,DOMESTICMIG2020,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,NETMIG2020,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RESIDUAL2020,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RBIRTH2020,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RDEATH2020,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RNATURALINC2020,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RINTERNATIONALMIG2020,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RDOMESTICMIG2020,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019,RNETMIG2020
040,3,5,10,Delaware,897934,897947,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809,1700,7943,7928,8544,9069,8934,7924,7953,9043,9683,10141,2843,11300,11155,10893,10984,11023,11216,10830,10760,10551,10516,1836,7872,7696,8086,8071,8543,8506,9051,9437,9540,10368,1007,3428,3459,2807,2913,2480,2710,1779,1323,1011,148,400,1675,1352,2504,1901,2402,1834,1714,670,1447,1217,278,2857,3197,3299,4223,4058,3377,4438,7049,7226,8772,678,4532,4549,5803,6124,6460,5211,6152,7719,8673,9989,15,-17,-80,-66,32,-6,3,22,1,-1,4,12.505277393,12.23734414,11.842920667,11.828603705,11.756637706,11.855898405,11.352611808,11.179644735,10.856876202,10.711610067,8.7116410299,8.4427252801,8.7911371074,8.6916114803,9.1115808694,8.991286718,9.4877644946,9.8050471524,9.8165670518,10.560857092,3.7936363631,3.7946188597,3.0517835593,3.1369922243,2.6450568367,2.8646116866,1.8648473137,1.3745975821,1.0403091498,0.1507529755,1.8536583746,1.4831814681,2.7223605388,2.0471754955,2.561865533,1.9386338868,1.7967106777,0.6961302948,1.4889489019,1.2396376428,3.1617325232,3.5071975988,3.5866882658,4.5477233653,4.3280809046,3.5696655592,4.6521598527,7.3239141017,7.4354835971,8.9351695996,5.0153908978,4.990379067,6.3090488046,6.5948988608,6.8899464376,5.508299446,6.4488705304,8.0200443965,8.924432499,10.174807242
040,3,5,11,District of Columbia,601723,601767,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,712816,3515,15008,15447,15822,12044,13411,10562,9503,7068,4106,4563,2242,9196,9231,9448,9332,9649,9695,9705,9400,9194,9155,1181,4667,4534,4813,4649,4883,4852,5136,4943,5417,6093,1061,4529,4697,4635,4683,4766,4843,4569,4457,3777,3062,757,2666,3610,4980,5460,5298,3710,3855,3055,2751,2143,1465,7709,6797,5972,1817,3266,1969,1055,-444,-2417,-658,2222,10375,10407,10952,7277,8564,5679,4910,2611,334,1485,232,104,343,235,84,81,40,24,0,-5,16,15.006870261,14.69872861,14.678830665,14.191407598,14.394864454,14.209396229,14.017932265,13.416822126,13.018974795,12.884666403,7.6160356144,7.2195900247,7.4776896689,7.0698514708,7.2847054752,7.1112935021,7.4184544164,7.055250188,7.6706315491,8.5752345593,7.390834647,7.4791385854,7.2011409963,7.1215561277,7.110158979,7.0981027268,6.5994778483,6.3615719377,5.3483432455,4.3094318432,4.3506215873,5.7482840735,7.7371482549,8.3031596108,7.9038233888,5.4375306869,5.5681740217,4.3604671909,3.8954970263,3.0160393338,12.580248243,10.823015747,9.278363329,2.7631576946,4.8723833876,2.8858484966,1.52384529,-0.633730747,-3.422543189,-0.926063407,16.930869831,16.571299821,17.015511584,11.066317305,12.776206776,8.3233791835,7.0920193117,3.7267364437,0.4729538374,2.0899759266
040,3,5,12,Florida,18801310,18804589,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21733312,41554,209464,246409,249662,302202,365231,408126,349852,277837,237130,241256,50884,213199,214011,212989,218358,221743,226033,222993,223734,220705,219996,41760,174492,173760,181594,181037,191082,193681,199773,206543,211071,230396,9124,38707,40251,31395,37321,30661,32352,23220,17191,9634,-10400,22735,102343,100592,105369,114339,134725,157803,161644,132690,88787,78072,10293,68566,103739,111638,147435,197683,217181,164243,127568,139330,174645,33028,170909,204331,217007,261774,332408,374984,325887,260258,228117,252717,-598,-152,1827,1260,3107,2162,790,745,388,-621,-1061,11.250087397,11.158720654,10.963642222,11.082599059,11.066955297,11.067476583,10.719702562,10.595468864,10.326109104,10.179022652,9.2075959553,9.0599983216,9.3475796664,9.1883992608,9.5366976725,9.4833937174,9.603472485,9.7813471604,9.8753638327,10.660221562,2.0424914417,2.0987223322,1.6160625551,1.8941997979,1.5302576241,1.5840828659,1.1162300767,0.8141217036,0.4507452713,-0.481198911,5.4004366553,5.2449548294,5.4238858215,5.8031915193,6.7239802489,7.7266638379,7.7705380926,6.2838583477,4.1540710406,3.612323208,3.6180915129,5.4090421609,5.746583581,7.4829545619,9.8661465025,10.634047382,7.8954770232,6.0412935542,6.5188227791,8.0806715168,9.0185281682,10.65399699,11.170469402,13.286146081,16.590126751,18.36071122,15.666015116,12.325151902,10.67289382,11.692994725
040,3,5,13,Georgia,9687653,9688737,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10710017,23472,91421,99950,72012,95612,112149,125089,108589,102358,108631,81997,32490,132638,131860,128689,129543,131678,131395,129077,128171,125873,125818,17216,71163,70456,74852,74843,78566,80067,82135,84768,85998,94638,15274,61475,61404,53837,54700,53112,51328,46942,43403,39875,31180,4369,12560,22454,23207,17777,26234,35276,21846,17766,16252,13275,3034,17118,14974,-5842,22919,32650,38504,39798,41256,52508,37563,7403,29678,37428,17365,40696,58884,73780,61644,59022,68760,50838,795,268,1118,810,216,153,-19,3,-67,-4,-21,13.592856551,13.381904389,12.947118723,12.924060284,13.002308567,12.824157181,12.455879777,12.243831562,11.904342513,11.792837364,7.2928455702,7.1502764724,7.5306959465,7.4668291132,7.7578591326,7.8145423571,7.9259952234,8.0976594852,8.133194946,8.8703567249,6.3000109808,6.2316279169,5.4164227766,5.4572311705,5.2444494343,5.0096148239,4.5298845532,4.1461720772,3.7711475671,2.9224806387,1.2871596245,2.2787599056,2.3348054939,1.7735502471,2.5904294031,3.4429389909,2.1081304152,1.6971382882,1.5370204454,1.2442569108,1.7542673928,1.5196468704,-0.587750838,2.2865499305,3.2239658463,3.7579919182,3.8404913606,3.9410749307,4.9659038608,3.5207549785,3.0414270173,3.798406776,1.747054656,4.0601001776,5.8143952494,7.2009309092,5.9486217757,5.6382132189,6.5029243062,4.7650118893
040,4,9,15,Hawaii,1360301,1360304,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1407006,3700,15558,15637,13623,6513,7664,5886,-3122,-2661,-7487,-8609,4643,19154,18894,19029,18956,18211,18406,17770,17284,16695,16420,2531,10075,10250,10339,10738,11078,10855,11288,11540,12456,13768,2112,9079,8644,8690,8218,7133,7551,6482,5744,4239,2652,2033,7437,10284,5873,4071,7434,9792,4814,4537,2778,2187,-357,-906,-3057,-763,-5708,-6829,-11424,-14416,-12928,-14463,-13375,1676,6531,7227,5110,-1637,605,-1632,-9602,-8391,-11685,-11188,-88,-52,-234,-177,-68,-74,-33,-2,-14,-41,-73,13.962849809,13.618470203,13.57265156,13.424182862,12.832175494,12.907958388,12.449871228,12.133955101,11.762356022,11.634576516,7.3444560838,7.3880236892,7.3744098208,7.6043930985,7.8059875969,7.6125115888,7.9085057072,8.1014719897,8.7757955443,9.7554719532,6.6183937255,6.2304465141,6.1982417393,5.8197897638,5.0261878975,5.2954467994,4.5413655204,4.0324831117,2.9865604778,1.8791045627,5.421411404,7.4125303044,4.1889843193,2.8829841967,5.2382841484,6.8670394729,3.372745081,3.1851281124,1.957222224,1.5496235591,-0.660454314,-2.203433016,-0.544218463,-4.042268188,-4.811977731,-8.011546052,-10.10001934,-9.075895137,-10.18981462,-9.477007363,4.7609570902,5.209097288,3.6447658559,-1.159283992,0.4263064178,-1.144506579,-6.727274256,-5.890767025,-8.2325924,-7.927383804
040,4,8,16,Idaho,1567582,1567658,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1826913,3161,13453,11638,16143,20195,20247,31541,35709,32329,36986,37853,5973,22973,22365,22713,22440,23029,22601,22463,21636,21584,21656,2582,11882,11897,12297,12533,12889,13278,13683,14231,13755,14637,3391,11091,10468,10416,9907,10140,9323,8780,7405,7829,7019,187,1813,1756,2039,1589,3294,3618,1822,463,758,678,-381,524,-721,3535,8470,6771,18550,25035,24401,28466,30283,-194,2337,1035,5574,10059,10065,22168,26857,24864,29224,30961,-36,25,135,153,229,42,50,72,60,-67,-127,14.562495979,14.065232745,14.16038776,13.833488323,14.021797139,13.547603784,13.198851512,12.463783394,12.190445208,11.977965543,7.5319539119,7.4819617242,7.6665472763,7.7261635095,7.8477981382,7.9591647732,8.0398827069,8.1980080183,7.7686978239,8.0957462901,7.0305420668,6.5832710203,6.4938404838,6.1073248136,6.1739990008,5.5884390105,5.1589688056,4.265775376,4.4217473837,3.8822192533,1.1492536982,1.1043393114,1.2712116692,0.9795638567,2.0056363618,2.1687195473,1.0705741644,0.2667189735,0.4281114468,0.3750028001,0.3321615763,-0.453433168,2.2038907556,5.2214637298,4.1226969659,11.119333224,14.710112078,14.056608366,16.077335678,16.749571969,1.4814152746,0.6509061431,3.4751024248,6.2010275865,6.1283333278,13.288052771,15.780686243,14.323327339,16.505447125,17.124574769
040,2,3,17,Illinois,12830632,12831572,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12587530,8973,27238,15246,12749,-10686,-25507,-37876,-41816,-55208,-57668,-79487,41839,162419,160154,157503,157501,159256,156747,151354,148028,142527,140833,24075,101615,101312,104308,102684,107563,106154,108768,110595,109472,118232,17764,60804,58842,53195,54817,51693,50593,42586,37433,33055,22601,4946,30893,27408,27738,28923,30358,24566,30046,20899,13235,11164,-13373,-64513,-70921,-68005,-94884,-107883,-113193,-114690,-113775,-104056,-113205,-8427,-33620,-43513,-40267,-65961,-77525,-88627,-84644,-92876,-90821,-102041,-364,54,-83,-179,458,325,158,242,235,98,-47,12.635516398,12.438753388,12.219572457,12.218439486,12.37195557,12.207095172,11.823791339,11.607955246,11.226265967,11.153080671,7.9052204406,7.8686450742,8.0925389604,7.9659065035,8.3561351343,8.2670289122,8.4969682757,8.6725606673,8.6226594814,9.363224769,4.730295957,4.5701083135,4.1270334969,4.2525329828,4.0158204354,3.9400662599,3.3268230637,2.935394579,2.6036064853,1.789855902,2.4033457174,2.1287095723,2.1520002846,2.243756708,2.3583904354,1.9131434732,2.3471968668,1.6388430344,1.0424665507,0.8841180165,-5.018840587,-5.508253487,-5.276039345,-7.360806676,-8.380994642,-8.815210012,-8.959595575,-8.921927663,-8.196063423,-8.965118242,-2.61549487,-3.379543915,-3.12403906,-5.117049968,-6.022604207,-6.902066539,-6.612398708,-7.283084629,-7.153596872,-8.081000225
040,2,3,18,Indiana,6483802,6484050,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6754953,6505,26695,21739,31586,25444,15423,26456,24170,36413,32529,23943,20965,83476,83053,83369,83528,84205,83540,82219,82548,81204,80976,13851,57903,58608,60700,59828,62900,62133,65299,65706,63772,67236,7114,25573,24445,22669,23700,21305,21407,16920,16842,17432,13740,2493,9401,11135,9194,10133,8389,13904,9312,15414,10913,8743,-3053,-8217,-13573,73,-7683,-13954,-8704,-1882,4297,4163,1323,-560,1184,-2438,9267,2450,-5565,5200,7430,19711,15076,10066,-49,-62,-268,-350,-706,-317,-151,-180,-140,21,137,12.834755749,12.722346765,12.718805904,12.687867493,12.751126049,12.610439463,12.363791005,12.356977247,12.093384626,12.008931064,8.9028087368,8.9777768314,9.2604147628,9.0878476241,9.5249192862,9.3790332198,9.8194235985,9.8358233632,9.4973070833,9.9712567801,3.9319470118,3.7445699332,3.458391141,3.6000198685,3.226206763,3.2314062436,2.5443674067,2.5211538837,2.5960775431,2.037674284,1.4454398724,1.7056979426,1.4026400878,1.5391983682,1.2703425738,2.0988215262,1.4003043316,2.3073902128,1.6252291319,1.2966074429,-1.263395323,-2.079159243,0.0111369074,-1.167044416,-2.113048072,-1.313876767,-0.283008242,0.6432370406,0.6199788212,0.1962040086,0.1820445494,-0.373461301,1.4137769952,0.3721539526,-0.842705498,0.7849447595,1.1172960893,2.9506272534,2.2452079532,1.4928114514
040,2,4,19,Iowa,3046355,3046877,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3163561,3942,15953,10072,17091,16708,11898,10669,10524,6166,9696,3965,9973,37837,38459,38804,39457,39694,39427,38790,38304,37380,37068,6886,28191,28054,29151,28883,29748,29162,30579,30393,29055,30857,3087,9646,10405,9653,10574,9946,10265,8211,7911,8325,6211,1513,6447,4314,7202,7093,5701,6003,6196,3089,6921,5511,-555,-127,-4637,196,-869,-3653,-5564,-3850,-4825,-5566,-7799,958,6320,-323,7398,6224,2048,439,2346,-1736,1355,-2288,-103,-13,-10,40,-90,-96,-35,-33,-9,16,42,12.369901813,12.519988228,12.576694126,12.718673212,12.736347908,12.605041345,12.359517625,12.172299819,11.848806941,11.724523051,9.2163729154,9.1327322541,9.4480777873,9.3102222262,9.5450415069,9.3232611081,9.7432763459,9.658330942,9.2099273856,9.7599980516,3.1535288972,3.3872559743,3.1286163384,3.4084509857,3.1913064014,3.2817802371,2.6162412792,2.5139688771,2.6388795555,1.9645249991,2.1076923907,1.404384649,2.3342271697,2.2863762854,1.8292416845,1.9191940344,1.9742091056,0.9816268312,2.1938360845,1.7431166109,-0.041519611,-1.50953445,0.0635252048,-0.280115747,-1.172113642,-1.77884318,-1.226711597,-1.53329539,-1.764324757,-2.466805743,2.0661727794,-0.105149801,2.3977523745,2.0062605386,0.6571280424,0.1403508548,0.7474975083,-0.551668559,0.4295113271,-0.723689132
040,2,4,20,Kansas,2853118,2853120,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2913805,5146,11411,16347,8282,7555,8856,2260,-2085,1856,-113,1170,9994,40118,39553,39703,39285,39003,38769,37219,36459,35805,35467,5995,25171,24977,25595,25474,26527,26238,27012,27688,25737,27169,3999,14947,14576,14108,13811,12476,12531,10207,8771,10068,8298,998,5133,6323,6080,6873,9413,7913,2531,4307,3016,2483,209,-8667,-4628,-11912,-13108,-12934,-18179,-14784,-11194,-13226,-9663,1207,-3534,1695,-5832,-6235,-3521,-10266,-12253,-6887,-10210,-7180,-60,-2,76,6,-21,-99,-5,-39,-28,29,52,14.007820958,13.743938401,13.737277975,13.555510047,13.420207006,13.314229766,12.781537497,12.521034954,12.29275397,12.174501068,8.7888444421,8.6790470874,8.8558957707,8.7899468735,9.127447408,9.0107756348,9.2763075543,9.5088295293,8.8361572106,9.3261065076,5.2189765157,5.0648913138,4.8813822048,4.765563173,4.2927595982,4.3034541307,3.5052299425,3.0122054248,3.4565967594,2.84839456,1.7922664384,2.1971259452,2.1036861217,2.3715672789,3.2388382573,2.7175191554,0.8691816385,1.4791436284,1.0354683975,0.8523214862,-3.026217265,-1.60814469,-4.121563994,-4.522989072,-4.450348881,-6.243116482,-5.077037275,-3.844331037,-4.540817316,-3.316948257,-1.233950827,0.5889812553,-2.017877872,-2.151421793,-1.211510624,-3.525597327,-4.207855637,-2.365187409,-3.505348919,-2.46462677
040,3,6,21,Kentucky,4339367,4339330,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4477251,9134,22353,17048,19041,10086,12134,11180,15284,8683,8072,4906,13677,55322,55282,56040,55745,55928,55919,54605,54653,53499,52831,10554,42513,42856,44420,43641,46308,46715,48536,48420,47227,49879,3123,12809,12426,11620,12104,9620,9204,6069,6233,6272,2952,1630,5548,8316,9326,5447,7900,7550,6464,1490,2538,2210,4189,4019,-3545,-1824,-7146,-5233,-5453,2864,1025,-750,-308,5819,9567,4771,7502,-1699,2667,2097,9328,2515,1788,1902,192,-23,-149,-81,-319,-153,-121,-113,-65,12,52,12.689578418,12.623360455,12.743936141,12.635005527,12.644642543,12.609375662,12.276447476,12.254224084,11.972985754,11.80634299,9.7514921242,9.7859472464,10.101456877,9.8915467971,10.469677208,10.533932725,10.911998072,10.856668987,10.569322757,11.146648407,2.938086294,2.837413209,2.6424792641,2.7434587299,2.1749653351,2.075442937,1.3644494045,1.397555097,1.4036629964,0.6596945829,1.2725819939,1.8989158414,2.1208056469,1.2346017599,1.7860941941,1.7024765509,1.4532543996,0.3340858486,0.5680001092,0.493877042,0.9218650024,-0.809482523,-0.414791926,-1.61969234,-1.183117838,-1.229616508,0.6438924196,0.2298241576,-0.167848732,-0.068829923,2.1944469963,1.0894333188,1.7060137211,-0.38509058,0.6029763564,0.4728600433,2.0971468192,0.5639100062,0.4001513772,0.4250471194
040,3,7,22,Louisiana,4533372,4533500,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4645318,11135,31609,25823,23973,19898,21060,14348,-7673,-9223,-6165,-12967,14557,62310,62274,62527,64216,64400,64479,61865,60751,58469,57616,9178,40770,40729,43787,43590,43973,43683,45010,46530,46136,50108,5379,21540,21545,18740,20626,20427,20796,16855,14221,12333,7508,1320,7235,4649,6562,5096,6523,6770,3724,3747,6070,4928,4082,2715,-601,-1622,-5808,-5845,-13134,-28265,-27183,-24591,-25334,5402,9950,4048,4940,-712,678,-6364,-24541,-23436,-18521,-20406,354,119,230,293,-16,-45,-84,13,-8,23,-69,13.663156808,13.56981693,13.551425011,13.85162907,13.830224969,13.794742684,13.226055447,13.01139426,12.543314811,12.385739159,8.9399278293,8.8750533731,9.4899203054,9.4025244667,9.4434236421,9.3456124422,9.6226421347,9.9656001533,9.8975247071,10.771740798,4.7232289783,4.6947635573,4.0615047051,4.4491046031,4.3868013267,4.4491302417,3.6034133121,3.0457941066,2.6457901034,1.6139983617,1.5864699005,1.0130404167,1.4221768343,1.0992260767,1.4008471657,1.448384869,0.7961501735,0.802516737,1.3021929723,1.059374524,0.5953373573,-0.130960914,-0.351534719,-1.252807114,-1.255243244,-2.809909434,-6.042745611,-5.821940876,-5.275490508,-5.446062133,2.1818072578,0.8820795024,1.0706421154,-0.153581037,0.1456039213,-1.361524565,-5.246595437,-5.019424139,-3.973297536,-4.386687609
040,1,1,23,Maine,1328361,1328354,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1350141,-703,822,-379,449,2674,-2119,3250,3395,4380,5647,4371,3448,12628,12796,12866,12705,12644,12704,12396,12265,12390,12209,3102,13024,12753,13405,13348,14174,14173,14552,14577,14692,15562,346,-396,43,-539,-643,-1530,-1469,-2156,-2312,-2302,-3353,322,1265,656,1910,3172,770,2118,774,1024,2057,1605,-1312,-5,-874,-780,310,-1267,2657,4829,5701,5899,6114,-990,1260,-218,1130,3482,-497,4775,5603,6725,7956,7719,-59,-42,-204,-142,-165,-92,-56,-52,-33,-7,5,9.5085922193,9.6334856226,9.6859299934,9.5534935483,9.5056412493,9.5466900324,9.2920368908,9.1671257081,9.2259818243,9.0574206641,9.8067710694,9.6011130154,10.091706168,10.036995819,10.655880977,10.650601215,10.908173672,10.895164407,10.94012308,11.544891504,-0.29817885,0.0323726072,-0.405776175,-0.483502271,-1.150239727,-1.103911182,-1.616136781,-1.728038698,-1.714141256,-2.48747084,0.9525157711,0.4938704727,1.4379081523,2.38517761,0.578878817,1.5916159862,0.580190106,0.7653597004,1.531706587,1.190692126,-0.003764884,-0.657992063,-0.587208565,0.2331037387,-0.952518781,1.9966589591,3.6198165655,4.2610504412,4.3925800469,4.5357580425,0.9487508866,-0.16412159,0.8506995875,2.6182813487,-0.373639964,3.5882749453,4.2000066714,5.0264101416,5.9242866339,5.7264501684
040,3,5,24,Maryland,5773552,5773787,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6055802,14997,51457,48134,36822,34867,28464,18486,21172,13967,12801,848,18458,73558,72718,72369,72748,74145,73498,71770,71695,70804,69753,10610,43695,43469,45725,44768,47190,47256,49829,50070,51671,55635,7848,29863,29249,26644,27980,26955,26242,21941,21625,19133,14118,6709,21160,26172,21774,23752,27935,22015,23450,16629,16757,13078,851,520,-6488,-11004,-16296,-26121,-29699,-24085,-24238,-23055,-26379,7560,21680,19684,10770,7456,1814,-7684,-635,-7609,-6298,-13301,-411,-86,-799,-592,-569,-305,-72,-134,-49,-34,31,12.650759629,12.40009904,12.25184051,12.241716863,12.410667299,12.254219109,11.926681734,11.879533789,11.70593928,11.519181792,7.5148174503,7.4124687857,7.7410964271,7.5333642231,7.8988386247,7.8789270214,8.2805437384,8.2963701351,8.5427036398,9.1877005862,5.1359421792,4.9876302541,4.5107440832,4.7083526395,4.511828674,4.3752920877,3.6461379952,3.5831636543,3.1632356397,2.3314812056,3.6391700938,4.4629306646,3.6862686408,3.9968831984,4.6758647379,3.6705302687,3.8969024196,2.7553492905,2.770414447,2.1597330505,0.0894314012,-1.106353895,-1.862942047,-2.742219965,-4.372230636,-4.95167288,-4.002426216,-4.016125811,-3.811655134,-4.356292869,3.728601495,3.3565767692,1.8233265942,1.2546632337,0.3036341018,-1.281142611,-0.105523797,-1.26077652,-1.041240687,-2.196559818
